LEAID,ZIP,LAT,LON
0400352,85016,33.527109,-112.047952
0400353,85016,33.527109,-112.047952
0400354,85016,33.527109,-112.047952
0400355,85016,33.527109,-112.047952
0400356,85745,32.22766,-110.988351
0400357,85016,33.527109,-112.047952
0400359,85234,33.374327,-111.7388
0400361,85712,32.25028,-110.870801
0400363,85021,33.553719,-112.107124
0400364,85021,33.553719,-112.107124
0400366,85042,33.391037,-112.022252
0400367,85711,32.233271,-110.909141
0400368,85705,32.271776,-110.999214
0400370,85014,33.49204,-112.057711
0400373,85745,32.221784,-111.024733
0400374,85053,33.651525,-112.115995
0400376,85053,33.65142,-112.116111
0400377,85326,33.424889,-112.583164
0400381,85364,32.704379,-114.611223
0400382,85701,32.22452,-110.971301
0400384,85016,33.527109,-112.047952
0400385,85016,33.527109,-112.047952
0400386,85016,33.527109,-112.047952
0400387,85016,33.527109,-112.047952
0400388,85016,33.527109,-112.047952
0400389,85016,33.527109,-112.047952
0400390,85303,33.50931,-112.223704
0400391,85035,33.464836,-112.217136
0400394,85035,33.464836,-112.217136
0400395,85296,33.320628,-111.775635
0400396,85017,33.523369,-112.133553
0400397,85296,33.329614,-111.795933
0400399,85253,33.525414,-111.943851
0400401,85014,33.522634,-112.065791
0400402,85033,33.495851,-112.202849
0400403,85128,33.031406,-111.579468
0400404,85128,33.031406,-111.579468
0400405,85021,33.541142,-112.111786
0400406,85204,33.40397,-111.813261
0400407,85701,32.223311,-110.97056
0400409,85719,32.274528,-110.961486
0400413,86442,35.101183,-114.625291
0400414,86426,34.983194,-114.595492
0400415,85021,33.55241,-112.102721
0400416,85008,33.465354,-112.005594
0400417,85042,33.378982,-112.039907
0400419,85501,33.395173,-110.777156
0400420,85021,33.560097,-112.113273
0400423,85207,33.416646,-111.668818
0400424,85053,33.65142,-112.116111
0400425,85053,33.65142,-112.116111
0400426,85215,33.455709,-111.682344
0400427,85297,33.277061,-111.784406
0400429,85339,33.39124,-112.194651
0400432,85004,33.476391,-112.071066
0400434,85621,31.385394,-110.949751
0400438,85053,33.65142,-112.116111
0400439,86325,34.716988,-111.88822
0400440,85034,33.446648,-111.977644
0400441,85053,33.65142,-112.116111
0400442,85053,33.65142,-112.116111
0400444,86314,34.582181,-112.299812
0400445,85053,33.65142,-112.116111
0400447,85016,33.527109,-112.047952
0400448,85712,32.239477,-110.888052
0400450,85323,33.4506,-112.3367
0400455,85008,33.452776,-112.026064
0400456,85546,32.833721,-109.718072
0400457,85603,31.553056,-110.233408
0400458,85364,32.677647,-114.649543
0400459,85003,33.445339,-112.080825
0400460,86301,34.566781,-112.424793
0400461,86401,35.188441,-114.044932
0400462,85621,31.355441,-110.927877
0400463,85745,32.237033,-110.990434
0400480,85320,33.938754,-113.172756
0400520,85321,32.373754,-112.859541
0400600,85019,33.50269,-112.13899
0400607,85533,33.381575,-109.493397
0400608,85258,33.553063,-111.897369
0400610,85306,33.633464,-112.186385
0400612,86033,36.749677,-110.227962
0400613,85718,32.33047,-110.943711
0400614,85281,33.41298,-111.975441
0400615,85305,33.51517,-112.271701
0400616,85281,33.415439,-111.919058
0400618,85016,33.527109,-112.047952
0400619,85016,33.527109,-112.047952
0400621,85282,33.39322,-111.97186
0400625,85621,31.369548,-110.931994
0400626,85122,32.927541,-111.73864
0400630,85920,33.827147,-109.143498
0400632,85635,31.566878,-110.248134
0400633,85741,32.3234,-111.0429
0400636,85306,33.63554,-112.180071
0400637,85204,33.387587,-111.814937
0400638,85204,33.387587,-111.814937
0400640,85204,33.387587,-111.814937
0400641,85204,33.387587,-111.814937
0400649,85031,33.532871,-112.327258
0400650,85257,33.45783,-111.930101
0400653,85204,33.387587,-111.814937
0400655,85034,33.446648,-111.977644
0400656,85029,33.608735,-112.133241
0400680,85705,32.28554,-110.982501
0400720,85356,32.691608,-114.023242
0400745,85138,33.042307,-112.00606
0400746,85142,33.17521,-111.614951
0400747,85034,33.446648,-111.977644
0400748,85022,33.578929,-112.115138
0400750,85632,31.689643,-109.130503
0400751,85201,33.41797,-111.844891
0400752,85741,32.312811,-111.028367
0400754,85053,33.466749,-112.207211
0400755,85032,33.63393,-111.997251
0400756,85053,33.65142,-112.116111
0400757,85034,33.446648,-111.977644
0400758,85383,33.70313,-112.273484
0400760,85034,33.446648,-111.977644
0400761,85282,33.392618,-111.918573
0400762,85546,32.83459,-109.718499
0400763,85041,33.3715,-112.112591
0400764,85006,33.454094,-112.063964
0400765,85501,33.394567,-110.770936
